lon,lat,elev,agebp,tanom_djf,tanom_djf_er
-9.144444,38.573611,70,719,-6.85,3.91408
-9.144444,38.573611,70,747,-6.85,3.91408
-9.144444,38.573611,70,805,-5.925,3.33027
-9.144444,38.573611,70,839,-7.1375,3.84854
-9.144444,38.573611,70,885,-4.85,3.86042
-9.144444,38.573611,70,938,-4.425,3.43875
-9.144444,38.573611,70,990,-4.3375,3.33035
-9.144444,38.573611,70,1042,-4.9,3.01236
-9.144444,38.573611,70,1096,-7.7625,3.40207
-9.144444,38.573611,70,1253,-6.8,4.25642
-9.144444,38.573611,70,1299,-7.35,3.77662
-9.144444,38.573611,70,1338,-4.6625,2.9539
-9.144444,38.573611,70,1376,-7.875,4.16885
-9.144444,38.573611,70,1453,-7.0875,3.64826
-9.144444,38.573611,70,1491,-7.6375,3.23019
-9.144444,38.573611,70,1530,-6.3625,3.52255
-9.144444,38.573611,70,1568,-7.3625,4.6907
-9.144444,38.573611,70,1607,-7.3625,4.6907
-9.144444,38.573611,70,1645,-6.7,3.28677
-9.144444,38.573611,70,1683,-6.9375,4.18157
-9.144444,38.573611,70,1726,-7.2625,4.54751
-9.144444,38.573611,70,1772,-6.65,3.96593
-9.144444,38.573611,70,1818,-6.5375,3.27324
-9.144444,38.573611,70,1864,-5.7625,3.98172
-9.144444,38.573611,70,1910,-4.8,4.38439
-9.144444,38.573611,70,1952,-5.575,3.68578
-9.144444,38.573611,70,1991,-7.325,3.71897
-9.144444,38.573611,70,2029,-7.0625,3.81274
-9.144444,38.573611,70,2106,-7.775,4.77217
-9.144444,38.573611,70,2144,-7.55,3.4042
-9.144444,38.573611,70,2183,-6.775,4.08613
-9.144444,38.573611,70,2221,-5.825,3.39527
-9.144444,38.573611,70,2259,-6.475,2.82173
-9.144444,38.573611,70,2344,-6.6,2.78875
-9.144444,38.573611,70,2388,-6.05,3.51893
-9.144444,38.573611,70,2430,-7.275,4.36733
-9.144444,38.573611,70,2472,-7.275,3.45119
-9.144444,38.573611,70,2517,-6.475,4.27443
-9.144444,38.573611,70,2561,-7.075,3.86144
-9.144444,38.573611,70,2603,-5.7875,3.98477
-9.144444,38.573611,70,2682,-5.8125,4.72756
-9.144444,38.573611,70,2759,-6.9,3.61465
-9.144444,38.573611,70,2951,-6.35,3.84485
-9.144444,38.573611,70,3152,-3.6125,2.9835
-9.144444,38.573611,70,3354,-6.325,3.582
-9.144444,38.573611,70,3517,-4.6,4.49952
-9.144444,38.573611,70,3699,-5.4625,3.44256
